id,first_name,last_name,sex,ssn,birth_date
1,Tiphany,Akred,Female,413-48-5419,1/9/2000
2,Stephi,Roose,Female,776-85-2588,10/23/2016
3,Kendall,Karpov,Male,378-87-2961,9/26/2016
4,Britt,Chaudrelle,Male,635-05-5745,9/16/2004
5,Parrnell,Ricold,Male,138-60-1814,7/4/2012
6,Norman,McIlriach,Male,331-84-5091,3/27/2007
7,Felicia,Juszczak,Female,804-57-0988,7/24/2017
8,Cornelius,Ross,Male,538-59-6843,9/12/1991
9,Maribel,Cockman,Female,382-41-4817,7/16/1993
10,Bennett,Deetch,Male,341-21-0461,8/13/2006
11,West,Langdale,Male,831-43-0403,6/24/1994
12,Bendix,Lavender,Male,559-47-9473,3/4/2007
13,Alisander,Durden,Male,813-21-0535,5/29/2014
14,Emyle,Askell,Female,142-70-9528,8/22/2004
15,Rickie,Sokell,Female,637-55-0044,11/30/2005
16,Erhart,Halm,Male,553-62-2378,12/22/2008
17,Torrey,Boler,Male,418-06-1449,10/19/2008
18,Forest,Sier,Male,853-74-3505,8/17/2006
19,Carlin,Lintin,Female,148-36-2964,9/1/1991
20,Barn,Elgar,Male,680-58-2853,1/9/1993
